Sex,Capture,Recapture
Male,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 1
Female,Area 1,Area 1
Female,Area 1,Area 1
Female,Area 1,Area 1
Female,Area 1,Area 1
Female,Area 1,Area 1
Female,Area 1,Area 1
Female,Area 1,Area 1
Female,Area 1,Area 1
Female,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 1
Female,Area 1,Area 1
Female,Area 1,Area 1
Female,Area 1,Area 1
Female,Area 1,Area 1
Female,Area 1,Area 1
Female,Area 1,Area 1
Female,Area 1,Area 1
Female,Area 1,Area 1
Female,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 2
Male,Area 1,Area 2
Male,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 1
Female,Area 1,Area 1
Female,Area 1,Area 1
Female,Area 1,Area 1
Female,Area 1,Area 1
Female,Area 1,Area 1
Female,Area 1,Area 1
Female,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 1
Female,Area 1,Area 1
Female,Area 1,Area 1
Female,Area 1,Area 1
Female,Area 1,Area 1
Female,Area 1,Area 1
Female,Area 1,Area 1
Female,Area 1,Area 1
Female,Area 1,Area 1
Female,Area 1,Area 1
Female,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 1
Female,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 1
Female,Area 1,Area 1
Female,Area 1,Area 1
Female,Area 1,Area 1
Female,Area 1,Area 2
Female,Area 1,Area 2
Male,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 1
Female,Area 1,Area 1
Female,Area 1,Area 1
Female,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 1
Female,Area 1,Area 1
Female,Area 1,Area 1
Female,Area 1,Area 1
Female,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 1
Female,Area 1,Area 1
Female,Area 1,Area 1
Female,Area 1,Area 1
Female,Area 1,Area 1
Female,Area 1,Area 1
Female,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 3
Male,Area 1,Area 2
Male,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 2,Area 2
Male,Area 2,Area 1
Male,Area 2,Area 1
Male,Area 2,Area 1
Male,Area 2,Area 1
Male,Area 2,Area 1
Male,Area 2,Area 3
Male,Area 2,Area 2
Male,Area 2,Area 1
Male,Area 2,Area 2
Female,Area 3,Area 3
Female,Area 3,Area 3
Male,Area 1,Area 1
Female,Area 1,Area 1
Female,Area 1,Area 1
Female,Area 1,Area 1
Female,Area 1,Area 2
Male,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 1
Female,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 3
Male,Area 1,Area 3
Male,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 1
Female,Area 2,Area 3
Female,Area 2,Area 3
Female,Area 2,Area 1
Female,Area 2,Area 2
Male,Area 2,Area 2
Male,Area 2,Area 2
Male,Area 2,Area 1
Male,Area 2,Area 3
Male,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 1,Area 1
Male,Area 2,Area 1
Male,Area 2,Area 2
